area,location,rooms,price
2207,CityCenter,5,14051698
2195,Outskirts,5,12930434
2233,CityCenter,1,13342761
1939,Outskirts,5,11514409
2794,CityCenter,5,17698075
1335,Outskirts,5,9006898
702,CityCenter,3,6641491
622,Suburb,4,5092998
900,CityCenter,2,7830154
1266,Outskirts,3,7198927
793,CityCenter,5,7155211
2827,CityCenter,1,16485918
697,CityCenter,5,7011818
2430,Suburb,4,14496413
2691,CityCenter,5,17429040
1108,Suburb,1,6804044
1647,Suburb,4,10469118
686,CityCenter,5,6751645
2294,CityCenter,4,14846498
1159,CityCenter,2,8299456
2455,Outskirts,2,13279282
